"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"34",2013,10,19,1558,1545,13,1932,1942,-10,"DL",4,"N3747D","JFK","SJU",188,1598,15,45,2013-10-19 15:00:00
"35",2013,3,27,1702,1703,-1,1828,1852,-24,"EV",4202,"N15983","EWR","STL",128,872,17,3,2013-03-27 17:00:00
"36",2013,9,11,2134,1940,114,2256,2120,96,"AA",363,"N477AA","LGA","ORD",109,733,19,40,2013-09-11 19:00:00
"37",2013,7,23,1013,959,14,1215,1207,8,"EV",4495,"N15574","EWR","SAV",103,708,9,59,2013-07-23 09:00:00
"38",2013,7,4,1153,1155,-2,1247,1323,-36,"EV",4974,"N758EV","LGA","BTV",40,258,11,55,2013-07-04 11:00:00
"39",2013,7,5,1932,1936,-4,2217,2233,-16,"B6",1271,"N507JB","LGA","FLL",144,1076,19,36,2013-07-05 19:00:00
"40",2013,9,8,2100,2100,0,2337,14,-37,"DL",2363,"N192DN","JFK","LAX",306,2475,21,0,2013-09-08 21:00:00
"41",2013,12,18,748,745,3,1142,1102,40,"DL",440,"N723TW","JFK","SEA",367,2422,7,45,2013-12-18 07:00:00
"42",2013,12,25,1512,1515,-3,1805,1811,-6,"UA",577,"N404UA","EWR","TPA",148,997,15,15,2013-12-25 15:00:00
"43",2013,6,26,1135,1135,0,1443,1451,-8,"DL",2215,"N982DL","LGA","FLL",148,1076,11,35,2013-06-26 11:00:00
"44",2013,10,29,618,615,3,815,821,-6,"EV",4471,"N10575","EWR","CLT",92,529,6,15,2013-10-29 06:00:00
"45",2013,10,30,1253,1259,-6,1614,1555,19,"UA",1280,"N17719","LGA","IAH",239,1416,12,59,2013-10-30 12:00:00
"46",2013,9,17,624,630,-6,745,805,-20,"AA",303,"N504AA","LGA","ORD",106,733,6,30,2013-09-17 06:00:00
"47",2013,12,7,1503,1506,-3,1709,1709,0,"EV",4572,"N14974","EWR","GSP",104,594,15,6,2013-12-07 15:00:00
"48",2013,11,19,1143,1151,-8,1444,1459,-15,"B6",323,"N655JB","JFK","LAX",336,2475,11,51,2013-11-19 11:00:00
"49",2013,5,23,1817,1729,48,2148,2110,38,"UA",1561,"N77431","EWR","SFO",332,2565,17,29,2013-05-23 17:00:00
"50",2013,10,31,1337,1340,-3,1539,1540,-1,"EV",4687,"N24103","EWR","CVG",102,569,13,40,2013-10-31 13:00:00
"51",2013,3,23,2349,2355,-6,331,340,-9,"B6",739,"N504JB","JFK","PSE",196,1617,23,55,2013-03-23 23:00:00
"52",2013,1,9,1851,1900,-9,1952,2012,-20,"US",2140,"N945UW","LGA","BOS",39,184,19,0,2013-01-09 19:00:00
"53",2013,7,1,1531,1315,136,1919,1558,201,"B6",553,"N789JB","JFK","PBI",159,1028,13,15,2013-07-01 13:00:00
"54",2013,6,1,1434,1440,-6,1605,1625,-20,"MQ",4403,"N815MQ","JFK","RDU",64,427,14,40,2013-06-01 14:00:00
"55",2013,6,12,937,945,-8,1206,1240,-34,"B6",393,"N760JB","LGA","MCO",118,950,9,45,2013-06-12 09:00:00
"56",2013,4,21,909,910,-1,1232,1235,-3,"VX",407,"N631VA","JFK","LAX",338,2475,9,10,2013-04-21 09:00:00
"57",2013,9,28,712,720,-8,955,1025,-30,"AS",15,"N557AS","EWR","SEA",323,2402,7,20,2013-09-28 07:00:00
"58",2013,12,25,1450,1450,0,1751,1802,-11,"B6",1171,"N603JB","LGA","FLL",158,1076,14,50,2013-12-25 14:00:00
"59",2013,7,31,1655,1705,-10,1834,1855,-21,"AA",345,"N4XEAA","LGA","ORD",113,733,17,5,2013-07-31 17:00:00
"60",2013,10,3,2046,2030,16,2248,2150,58,"WN",2520,"N728SW","EWR","MDW",129,711,20,30,2013-10-03 20:00:00
"61",2013,9,13,558,600,-2,808,827,-19,"DL",461,"N903DE","LGA","ATL",111,762,6,0,2013-09-13 06:00:00
"62",2013,6,5,1030,1037,-7,1143,1153,-10,"EV",3833,"N14568","EWR","BUF",51,282,10,37,2013-06-05 10:00:00
"63",2013,4,13,1427,1420,7,1706,1700,6,"UA",1114,"N37281","EWR","IAH",206,1400,14,20,2013-04-13 14:00:00
"64",2013,8,15,840,824,16,1029,1017,12,"US",1831,"N181UW","JFK","CLT",86,541,8,24,2013-08-15 08:00:00
"65",2013,3,9,1535,1510,25,1736,1745,-9,"MQ",4309,"N622MQ","JFK","IND",101,665,15,10,2013-03-09 15:00:00
"66",2013,8,28,1525,1215,190,1726,1440,166,"MQ",3658,"N537MQ","LGA","ATL",96,762,12,15,2013-08-28 12:00:00
"67",2013,7,12,1338,1237,61,1443,1351,52,"UA",1248,"N36247","EWR","BOS",36,200,12,37,2013-07-12 12:00:00
"68",2013,1,3,1657,1700,-3,1933,1935,-2,"DL",2042,"N301DQ","EWR","ATL",127,746,17,0,2013-01-03 17:00:00
"69",2013,1,13,820,830,-10,952,1013,-21,"EV",3815,"N17196","EWR","GSO",70,445,8,30,2013-01-13 08:00:00
"70",2013,10,15,1303,1240,23,1459,1438,21,"9E",3291,"N934XJ","EWR","DTW",89,488,12,40,2013-10-15 12:00:00
"71",2013,9,27,1127,1125,2,1303,1310,-7,"AA",327,"N3DSAA","LGA","ORD",109,733,11,25,2013-09-27 11:00:00
"72",2013,2,4,1240,1245,-5,1531,1550,-19,"AA",745,"N3BUAA","LGA","DFW",214,1389,12,45,2013-02-04 12:00:00
"73",2013,12,19,922,902,20,1056,1053,3,"EV",4594,"N13994","EWR","RDU",69,416,9,2,2013-12-19 09:00:00
"74",2013,8,16,2000,2010,-10,2059,2134,-35,"B6",418,"N193JB","JFK","BOS",38,187,20,10,2013-08-16 20:00:00
"75",2013,1,9,1859,1900,-1,2009,2015,-6,"US",2187,"N754UW","LGA","DCA",47,214,19,0,2013-01-09 19:00:00
"76",2013,6,17,2051,1945,66,2248,2149,59,"EV",4361,"N14960","EWR","TYS",100,631,19,45,2013-06-17 19:00:00
"77",2013,9,10,2035,2045,-10,2201,2153,8,"B6",2680,"N284JB","EWR","BOS",46,200,20,45,2013-09-10 20:00:00
"78",2013,7,15,1312,1315,-3,1545,1558,-13,"B6",553,"N613JB","JFK","PBI",135,1028,13,15,2013-07-15 13:00:00
"79",2013,4,13,1725,1725,0,2030,2040,-10,"AA",145,"N3ABAA","JFK","SAN",341,2446,17,25,2013-04-13 17:00:00
"80",2013,7,1,703,705,-2,837,823,14,"EV",4522,"N13550","EWR","BNA",123,748,7,5,2013-07-01 07:00:00
"81",2013,5,29,1656,1700,-4,1817,1823,-6,"US",2183,"N768US","LGA","DCA",54,214,17,0,2013-05-29 17:00:00
"82",2013,10,12,1623,1630,-7,1938,2006,-28,"DL",141,"N624AG","JFK","SFO",337,2586,16,30,2013-10-12 16:00:00
"83",2013,6,25,1502,1252,130,NA,1519,NA,"UA",353,"N406UA","EWR","ATL",NA,746,12,52,2013-06-25 12:00:00
"84",2013,5,27,1630,1630,0,1905,1918,-13,"UA",1249,"N67134","EWR","IAH",185,1400,16,30,2013-05-27 16:00:00
"85",2013,9,17,2050,2100,-10,2159,2211,-12,"US",2164,"N948UW","LGA","BOS",44,184,21,0,2013-09-17 21:00:00
"86",2013,2,25,908,830,38,1055,1023,32,"9E",4220,"N836AY","JFK","RDU",78,427,8,30,2013-02-25 08:00:00
"87",2013,6,22,1447,1459,-12,1611,1649,-38,"MQ",3391,"N720MQ","LGA","CMH",68,479,14,59,2013-06-22 14:00:00
"88",2013,7,31,1121,1125,-4,1216,1231,-15,"B6",2380,"N334JB","EWR","BOS",38,200,11,25,2013-07-31 11:00:00
"89",2013,1,21,1454,1436,18,1602,1543,19,"EV",4372,"N26549","EWR","DCA",47,199,14,36,2013-01-21 14:00:00
"90",2013,8,13,1729,1730,-1,2028,2026,2,"UA",1626,"N33262","EWR","SAN",332,2425,17,30,2013-08-13 17:00:00
"91",2013,2,2,557,600,-3,849,910,-21,"AA",707,"N3BUAA","LGA","DFW",208,1389,6,0,2013-02-02 06:00:00
"92",2013,8,7,729,730,-1,1040,1045,-5,"VX",183,"N845VA","EWR","SFO",350,2565,7,30,2013-08-07 07:00:00
"93",2013,11,15,1526,1529,-3,1733,1735,-2,"UA",1090,"N13716","EWR","MSP",158,1008,15,29,2013-11-15 15:00:00
"94",2013,1,22,2130,2042,48,2309,2231,38,"EV",3833,"N22971","EWR","STL",143,872,20,42,2013-01-22 20:00:00
"95",2013,8,25,1640,1645,-5,1811,1827,-16,"B6",2302,"N249JB","JFK","BUF",56,301,16,45,2013-08-25 16:00:00
"96",2013,1,26,1926,1935,-9,2134,2144,-10,"9E",3899,"N8587E","JFK","CLE",86,425,19,35,2013-01-26 19:00:00
"97",2013,5,1,1829,1830,-1,2142,2204,-22,"UA",1127,"N37273","EWR","SFO",322,2565,18,30,2013-05-01 18:00:00
"98",2013,2,7,1604,1530,34,1753,1711,42,"9E",3719,"N8797A","LGA","RIC",59,292,15,30,2013-02-07 15:00:00
"99",2013,6,18,909,915,-6,1011,1039,-28,"DL",867,"N346NB","JFK","BOS",33,187,9,15,2013-06-18 09:00:00
"100",2013,2,7,2000,2000,0,2251,2304,-13,"B6",21,"N558JB","JFK","TPA",148,1005,20,0,2013-02-07 20:00:00
"101",2013,12,25,1339,1300,39,1624,1610,14,"VX",165,"N633VA","EWR","LAX",323,2454,13,0,2013-12-25 13:00:00
"102",2013,12,5,1855,1858,-3,2208,2150,18,"B6",711,"N779JB","JFK","LAS",352,2248,18,58,2013-12-05 18:00:00
"103",2013,5,3,558,600,-2,736,756,-20,"EV",5068,"N133EV","EWR","DTW",77,488,6,0,2013-05-03 06:00:00
"104",2013,9,28,1637,1640,-3,1926,1947,-21,"B6",423,"N632JB","JFK","LAX",326,2475,16,40,2013-09-28 16:00:00
"105",2013,4,4,557,600,-3,806,805,1,"EV",5020,"N717EV","LGA","MEM",165,963,6,0,2013-04-04 06:00:00
"106",2013,4,19,1639,1545,54,2125,1916,NA,"DL",1043,"N390DA","JFK","SEA",NA,2422,15,45,2013-04-19 15:00:00
"107",2013,8,7,715,715,0,1004,958,6,"UA",312,"N593UA","EWR","SNA",329,2434,7,15,2013-08-07 07:00:00
"108",2013,11,6,1825,1829,-4,2026,2044,-18,"EV",5268,"N615QX","LGA","CLT",84,544,18,29,2013-11-06 18:00:00
"109",2013,3,24,1319,1305,14,1424,1406,18,"EV",4129,"N14203","EWR","DCA",40,199,13,5,2013-03-24 13:00:00
"110",2013,4,19,1339,1325,14,1630,1622,8,"UA",1122,"N27213","EWR","PBI",158,1023,13,25,2013-04-19 13:00:00
"111",2013,6,3,1718,1705,13,1940,1911,29,"US",894,"N167US","LGA","CLT",105,544,17,5,2013-06-03 17:00:00
"112",2013,7,4,1531,1519,12,1812,1820,-8,"UA",996,"N522UA","EWR","SFO",319,2565,15,19,2013-07-04 15:00:00
"113",2013,9,8,1941,1950,-9,2123,2141,-18,"EV",5038,"N716EV","LGA","BHM",108,866,19,50,2013-09-08 19:00:00
"114",2013,2,18,900,905,-5,1218,1235,-17,"VX",407,"N836VA","JFK","LAX",337,2475,9,5,2013-02-18 09:00:00
"115",2013,2,1,757,800,-3,1125,1122,3,"DL",1271,"N972DL","JFK","FLL",175,1069,8,0,2013-02-01 08:00:00
"116",2013,5,3,1126,1130,-4,1357,1330,27,"US",1625,"N151UW","LGA","CLT",91,544,11,30,2013-05-03 11:00:00
"117",2013,3,18,1202,1209,-7,1304,1318,-14,"EV",3267,"N12540","EWR","BTV",46,266,12,9,2013-03-18 12:00:00
"118",2013,8,18,627,630,-3,855,845,10,"DL",575,"N303DQ","EWR","ATL",120,746,6,30,2013-08-18 06:00:00
"119",2013,1,30,1635,1640,-5,1940,1955,-15,"AA",773,"N4YNAA","LGA","DFW",221,1389,16,40,2013-01-30 16:00:00
"120",2013,10,15,1655,1655,0,1834,1820,14,"WN",2988,"N294WN","LGA","MDW",123,725,16,55,2013-10-15 16:00:00
"121",2013,4,19,148,2055,293,250,2225,265,"WN",1731,"N450WN","LGA","MDW",108,725,20,55,2013-04-19 20:00:00
"122",2013,2,21,1406,1354,12,1715,1704,11,"UA",1164,"N12218","EWR","FLL",153,1065,13,54,2013-02-21 13:00:00
"123",2013,8,31,1417,1415,2,1522,1535,-13,"EV",5712,"N827AS","JFK","IAD",43,228,14,15,2013-08-31 14:00:00
"124",2013,6,8,743,740,3,943,950,-7,"WN",1312,"N243WN","EWR","DEN",213,1605,7,40,2013-06-08 07:00:00
"125",2013,6,6,1507,1455,12,1806,1805,1,"AA",759,"N3DTAA","LGA","DFW",207,1389,14,55,2013-06-06 14:00:00
"126",2013,2,16,1855,1855,0,2153,2217,-24,"DL",2159,"N390DA","JFK","MCO",144,944,18,55,2013-02-16 18:00:00
"127",2013,3,17,1139,1145,-6,1357,1402,-5,"DL",401,"N308DE","EWR","ATL",119,746,11,45,2013-03-17 11:00:00
"128",2013,8,3,1501,1505,-4,1646,1650,-4,"WN",882,"N499WN","LGA","STL",134,888,15,5,2013-08-03 15:00:00
"129",2013,6,20,1546,1525,21,1745,1727,18,"EV",4352,"N16911","EWR","CVG",91,569,15,25,2013-06-20 15:00:00
"130",2013,10,4,1810,1815,-5,2106,1954,NA,"EV",5287,"N713EV","LGA","MSN",NA,812,18,15,2013-10-04 18:00:00
"131",2013,3,13,907,914,-7,1218,1206,12,"B6",883,"N665JB","JFK","MCO",155,944,9,14,2013-03-13 09:00:00
"132",2013,11,16,759,806,-7,1034,1035,-1,"UA",561,"N558UA","LGA","DEN",244,1620,8,6,2013-11-16 08:00:00
"133",2013,11,23,1044,1046,-2,1221,1227,-6,"EV",4662,"N23139","EWR","RDU",75,416,10,46,2013-11-23 10:00:00
"134",2013,2,11,1210,1145,25,1509,1454,15,"DL",1875,"N956DL","LGA","TPA",156,1010,11,45,2013-02-11 11:00:00
"135",2013,12,16,NA,1735,NA,NA,1925,NA,"AA",345,"N482AA","LGA","ORD",NA,733,17,35,2013-12-16 17:00:00
"136",2013,12,26,1156,1200,-4,1302,1315,-13,"MQ",3386,"N839MQ","JFK","DCA",46,213,12,0,2013-12-26 12:00:00
"137",2013,12,22,1727,1500,147,2004,1730,154,"MQ",3669,"N3AEMQ","LGA","ATL",129,762,15,0,2013-12-22 15:00:00
"138",2013,11,17,112,2245,147,214,2353,141,"B6",108,"N216JB","JFK","PWM",46,273,22,45,2013-11-17 22:00:00
"139",2013,7,2,1731,1645,46,1904,1815,49,"WN",2625,"N419WN","LGA","MDW",112,725,16,45,2013-07-02 16:00:00
"140",2013,3,11,950,956,-6,1217,1240,-23,"B6",197,"N586JB","JFK","LAS",300,2248,9,56,2013-03-11 09:00:00
"141",2013,7,26,2024,1901,83,2143,2024,79,"EV",4131,"N14179","EWR","RIC",46,277,19,1,2013-07-26 19:00:00
"142",2013,10,3,819,825,-6,1007,1023,-16,"US",409,"N661AW","EWR","CLT",79,529,8,25,2013-10-03 08:00:00
"143",2013,10,26,2115,2050,25,2221,2211,10,"9E",3336,"N604LR","JFK","BOS",39,187,20,50,2013-10-26 20:00:00
"144",2013,3,8,1511,1508,3,1753,1758,-5,"UA",1233,"N76055","EWR","IAH",186,1400,15,8,2013-03-08 15:00:00
"145",2013,11,10,1647,1650,-3,1809,1802,7,"B6",918,"N328JB","JFK","BOS",46,187,16,50,2013-11-10 16:00:00
"146",2013,12,3,1608,1610,-2,1808,1819,-11,"EV",4352,"N12540","EWR","CVG",98,569,16,10,2013-12-03 16:00:00
"147",2013,10,16,1558,1600,-2,1747,1755,-8,"9E",3523,"N922XJ","JFK","ORD",128,740,16,0,2013-10-16 16:00:00
"148",2013,11,12,1725,1729,-4,2011,2028,-17,"UA",1109,"N26123","EWR","MCO",142,937,17,29,2013-11-12 17:00:00
"149",2013,6,11,1255,1300,-5,1437,1508,-31,"UA",1262,"N76265","EWR","MSY",149,1167,13,0,2013-06-11 13:00:00
"150",2013,4,6,810,815,-5,1048,1043,5,"DL",914,"N339NW","LGA","DEN",230,1620,8,15,2013-04-06 08:00:00
"151",2013,12,15,1910,1910,0,2216,2257,-41,"DL",460,"N398DA","JFK","PHX",290,2153,19,10,2013-12-15 19:00:00
"152",2013,11,26,2316,2014,182,24,2139,165,"EV",4224,"N13995","EWR","MKE",114,725,20,14,2013-11-26 20:00:00
"153",2013,11,2,1545,1545,0,1718,1723,-5,"9E",3459,"N919XJ","JFK","BNA",122,765,15,45,2013-11-02 15:00:00
"154",2013,10,29,1856,1900,-4,2042,2057,-15,"9E",3330,"N914XJ","JFK","ORD",128,740,19,0,2013-10-29 19:00:00
"155",2013,6,16,1201,1209,-8,1513,1503,10,"UA",1010,"N14704","EWR","SNA",353,2434,12,9,2013-06-16 12:00:00
"156",2013,2,21,2043,2029,14,2156,2140,16,"9E",3609,"N8587E","JFK","PHL",34,94,20,29,2013-02-21 20:00:00
"157",2013,12,19,1429,1425,4,1655,1653,2,"FL",1070,"N993AT","LGA","ATL",117,762,14,25,2013-12-19 14:00:00
"158",2013,7,24,1616,1615,1,1812,1831,-19,"DL",1619,"N914DL","LGA","MSP",142,1020,16,15,2013-07-24 16:00:00
"159",2013,4,4,14,2245,89,124,2355,89,"B6",22,"N238JB","JFK","SYR",39,209,22,45,2013-04-04 22:00:00
"160",2013,5,19,1437,1440,-3,2056,1645,NA,"DL",1819,"N903DE","LGA","MSP",NA,1020,14,40,2013-05-19 14:00:00
"161",2013,2,14,2003,2007,-4,2221,2206,15,"EV",4572,"N13975","EWR","GSP",100,594,20,7,2013-02-14 20:00:00
"162",2013,5,21,2008,1940,28,2253,2243,10,"DL",1435,"N920DL","LGA","TPA",140,1010,19,40,2013-05-21 19:00:00
"163",2013,12,12,1818,1820,-2,2142,2145,-3,"AA",119,"N3FMAA","EWR","LAX",340,2454,18,20,2013-12-12 18:00:00
"164",2013,6,25,613,615,-2,757,806,-9,"US",1965,"N102UW","EWR","CLT",76,529,6,15,2013-06-25 06:00:00
"165",2013,2,15,1149,1150,-1,1328,1345,-17,"MQ",4646,"N509MQ","LGA","MSP",141,1020,11,50,2013-02-15 11:00:00
"166",2013,12,17,1410,1300,70,1535,1410,85,"US",2148,"N953UW","LGA","BOS",36,184,13,0,2013-12-17 13:00:00
"167",2013,1,17,928,843,45,1207,1115,52,"EV",4388,"N17984","EWR","JAX",129,820,8,43,2013-01-17 08:00:00
"168",2013,11,1,726,730,-4,1054,1100,-6,"VX",11,"N844VA","JFK","SFO",348,2586,7,30,2013-11-01 07:00:00
"169",2013,5,13,1056,1101,-5,1324,1334,-10,"B6",711,"N796JB","JFK","LAS",280,2248,11,1,2013-05-13 11:00:00
"170",2013,12,14,2350,2059,171,136,2244,172,"B6",105,"N337JB","JFK","ORD",122,740,20,59,2013-12-14 20:00:00
"171",2013,4,6,2358,2359,-1,334,339,-5,"B6",727,"N510JB","JFK","BQN",201,1576,23,59,2013-04-06 23:00:00
"172",2013,6,22,824,830,-6,1008,1035,-27,"MQ",3478,"N738MQ","LGA","DTW",77,502,8,30,2013-06-22 08:00:00
"173",2013,8,16,1508,1459,9,1756,1801,-5,"9E",3325,"N907XJ","JFK","DFW",198,1391,14,59,2013-08-16 14:00:00
"174",2013,11,5,609,615,-6,823,817,6,"US",1899,"N556UW","JFK","CLT",100,541,6,15,2013-11-05 06:00:00
"175",2013,6,28,1627,1630,-3,2032,1939,53,"B6",423,"N807JB","JFK","LAX",336,2475,16,30,2013-06-28 16:00:00
"176",2013,11,3,1210,1215,-5,1444,1440,4,"MQ",3670,"N511MQ","LGA","ATL",118,762,12,15,2013-11-03 12:00:00
"177",2013,5,17,929,935,-6,1149,1208,-19,"EV",4140,"N15912","EWR","ATL",104,746,9,35,2013-05-17 09:00:00
"178",2013,9,12,1612,1600,12,1846,1852,-6,"DL",2459,"N3740C","JFK","MCO",122,944,16,0,2013-09-12 16:00:00
"179",2013,2,20,1559,1600,-1,1921,1850,31,"DL",920,"N3735D","JFK","DEN",262,1626,16,0,2013-02-20 16:00:00
"180",2013,12,12,1809,1740,29,2029,1952,37,"EV",5678,"N24128","EWR","CVG",98,569,17,40,2013-12-12 17:00:00
"181",2013,3,19,1331,1146,105,1600,1418,102,"EV",3257,"N16918","EWR","JAX",132,820,11,46,2013-03-19 11:00:00
"182",2013,9,20,822,829,-7,1118,1139,-21,"AA",2267,"N3FBAA","LGA","MIA",140,1096,8,29,2013-09-20 08:00:00
"183",2013,9,20,617,620,-3,808,810,-2,"MQ",3351,"N532MQ","LGA","DTW",81,502,6,20,2013-09-20 06:00:00
"184",2013,7,8,1420,1259,81,1632,1534,58,"DL",781,"N916DE","LGA","ATL",99,762,12,59,2013-07-08 12:00:00
"185",2013,1,9,2046,2100,-14,2209,2235,-26,"MQ",4507,"N713MQ","LGA","RDU",67,431,21,0,2013-01-09 21:00:00
"186",2013,7,5,1733,1725,8,2024,2045,-21,"AA",221,"N5FSAA","JFK","MIA",149,1089,17,25,2013-07-05 17:00:00
"187",2013,12,29,1542,1456,46,1737,1646,51,"EV",4596,"N14959","EWR","STL",146,872,14,56,2013-12-29 14:00:00
"188",2013,11,4,1131,1135,-4,1320,1338,-18,"9E",3373,"N924XJ","EWR","MSP",152,1008,11,35,2013-11-04 11:00:00
"189",2013,10,31,2008,1940,28,2135,2120,15,"AA",363,"N4XYAA","LGA","ORD",119,733,19,40,2013-10-31 19:00:00
"190",2013,7,8,2051,1830,141,2301,2038,143,"DL",2131,"N369NB","LGA","DTW",74,502,18,30,2013-07-08 18:00:00
"191",2013,5,25,1208,1200,8,1312,1312,0,"EV",4377,"N18557","EWR","BTV",49,266,12,0,2013-05-25 12:00:00
"192",2013,11,22,534,540,-6,829,850,-21,"AA",2243,"N5BYAA","JFK","MIA",149,1089,5,40,2013-11-22 05:00:00
"193",2013,2,2,1049,1045,4,1336,1358,-22,"DL",1875,"N928DL","LGA","TPA",153,1010,10,45,2013-02-02 10:00:00
"194",2013,5,11,1538,1522,16,1742,1755,-13,"UA",215,"N488UA","LGA","DEN",228,1620,15,22,2013-05-11 15:00:00
"195",2013,7,20,1756,1759,-3,2014,2058,-44,"UA",535,"N597UA","JFK","LAX",292,2475,17,59,2013-07-20 17:00:00
"196",2013,5,25,1138,1145,-7,1306,1323,-17,"UA",655,"N456UA","LGA","ORD",110,733,11,45,2013-05-25 11:00:00
"197",2013,10,16,1559,1550,9,1846,1816,30,"9E",3488,"N908XJ","LGA","MCI",182,1107,15,50,2013-10-16 15:00:00
"198",2013,7,30,1751,1700,51,2001,1923,38,"9E",3448,"N910XJ","JFK","CVG",92,589,17,0,2013-07-30 17:00:00
"199",2013,6,6,1650,1700,-10,1955,2035,-40,"B6",91,"N746JB","JFK","OAK",327,2576,17,0,2013-06-06 17:00:00
"200",2013,2,17,1529,1530,-1,1720,1734,-14,"US",1665,"N756US","LGA","CLT",85,544,15,30,2013-02-17 15:00:00
"201",2013,4,15,2051,2059,-8,2229,2256,-27,"EV",4368,"N14916","EWR","DAY",82,533,20,59,2013-04-15 20:00:00
